When,How,SubID,Condition,Age,Gender,Grade,Category.num,Category
Y,B,43,3,7.347945205,F,1,4,Fish
Y,B,43,3,7.347945205,F,1,5,Crying
N,T,43,3,7.347945205,F,1,6,Helping
N,T,43,3,7.347945205,F,1,7,Bee
N,T,43,3,7.347945205,F,1,8,ObjPerm
N,T,43,3,7.347945205,F,1,9,Spider
N,T,43,3,7.347945205,F,1,10,Number
Y,B,43,3,7.347945205,F,1,11,Hear
N,T,43,3,7.347945205,F,1,12,Reading
N,T,43,3,7.347945205,F,1,13,Face
Y,B,44,4,7.350684932,F,1,1,See
N,T,44,4,7.350684932,F,1,2,Violin
N,B,44,4,7.350684932,F,1,3,Face
N,T,44,4,7.350684932,F,1,4,Reading
Y,B,44,4,7.350684932,F,1,5,Hear
N,O,44,4,7.350684932,F,1,6,Number
Y,B,44,4,7.350684932,F,1,7,Spider
N,O,44,4,7.350684932,F,1,8,ObjPerm
N,B,44,4,7.350684932,F,1,9,Bee
N,O,44,4,7.350684932,F,1,10,Helping
Y,B,44,4,7.350684932,F,1,11,Crying
Y,B,44,4,7.350684932,F,1,12,Fish
N,T,44,4,7.350684932,F,1,13,Gravity
N,T,14,1,7.509589041,M,1,1,Violin
Y,B,14,1,7.509589041,M,1,2,See
N,O,14,1,7.509589041,M,1,3,Gravity
Y,O,14,1,7.509589041,M,1,4,Fish
Y,B,14,1,7.509589041,M,1,5,Crying
N,T,14,1,7.509589041,M,1,6,Helping
N,T,14,1,7.509589041,M,1,7,Bee
N,B,14,1,7.509589041,M,1,8,ObjPerm
N,T,14,1,7.509589041,M,1,9,Spider
N,T,14,1,7.509589041,M,1,10,Number
Y,B,14,1,7.509589041,M,1,11,Hear
N,T,14,1,7.509589041,M,1,12,Reading
N,O,14,1,7.509589041,M,1,13,Face
Y,O,30,2,7.660273973,F,2,1,See
N,T,30,2,7.660273973,F,2,2,Violin
N,T,30,2,7.660273973,F,2,3,Face
N,O,30,2,7.660273973,F,2,4,Reading
Y,B,30,2,7.660273973,F,2,5,Hear
N,T,30,2,7.660273973,F,2,6,Number
,O,30,2,7.660273973,F,2,7,Spider
N,T,30,2,7.660273973,F,2,8,ObjPerm
N,T,30,2,7.660273973,F,2,9,Bee
N,T,30,2,7.660273973,F,2,10,Helping
Y,B,30,2,7.660273973,F,2,11,Crying
Y,B,30,2,7.660273973,F,2,12,Fish
N,T,30,2,7.660273973,F,2,13,Gravity
N,T,51,1,7.747945205,M,0,1,Violin
Y,B,51,1,7.747945205,M,0,2,See
N,O,51,1,7.747945205,M,0,3,Gravity
Y,B,51,1,7.747945205,M,0,4,Fish
Y,O,51,1,7.747945205,M,0,5,Crying
N,T,51,1,7.747945205,M,0,6,Helping
N,O,51,1,7.747945205,M,0,7,Bee
N,T,51,1,7.747945205,M,0,8,ObjPerm
N,T,51,1,7.747945205,M,0,9,Spider
N,T,51,1,7.747945205,M,0,10,Number
Y,B,51,1,7.747945205,M,0,11,Hear
N,T,51,1,7.747945205,M,0,12,Reading
N,B,51,1,7.747945205,M,0,13,Face
Y,B,52,2,7.857534247,F,2,1,See
N,T,52,2,7.857534247,F,2,2,Violin
N,T,52,2,7.857534247,F,2,3,Face
N,T,52,2,7.857534247,F,2,4,Reading
Y,B,52,2,7.857534247,F,2,5,Hear
N,T,52,2,7.857534247,F,2,6,Number
Y,B,52,2,7.857534247,F,2,7,Spider
N,T,52,2,7.857534247,F,2,8,ObjPerm
N,T,52,2,7.857534247,F,2,9,Bee
N,T,52,2,7.857534247,F,2,10,Helping
Y,B,52,2,7.857534247,F,2,11,Crying
Y,B,52,2,7.857534247,F,2,12,Fish
N,T,52,2,7.857534247,F,2,13,Gravity
Y,B,8,3,7.882191781,F,2,1,See
,T,8,3,7.882191781,F,2,2,Violin
N,T,8,3,7.882191781,F,2,3,Gravity
Y,B,8,3,7.882191781,F,2,4,Fish
Y,B,8,3,7.882191781,F,2,5,Crying
N,T,8,3,7.882191781,F,2,6,Helping
N,O,8,3,7.882191781,F,2,7,Bee
N,T,8,3,7.882191781,F,2,8,ObjPerm
N,O,8,3,7.882191781,F,2,9,Spider
N,T,8,3,7.882191781,F,2,10,Number
Y,B,8,3,7.882191781,F,2,11,Hear
N,T,8,3,7.882191781,F,2,12,Reading
N,B,8,3,7.882191781,F,2,13,Face
Y,O,60,2,8.115068493,M,2,1,See
N,T,60,2,8.115068493,M,2,2,Violin
N,T,60,2,8.115068493,M,2,3,Face
N,T,60,2,8.115068493,M,2,4,Reading
Y,B,60,2,8.115068493,M,2,5,Hear
Y,B,60,2,8.115068493,M,2,6,Number
Y,B,60,2,8.115068493,M,2,7,Spider
N,O,60,2,8.115068493,M,2,8,ObjPerm
Y,B,60,2,8.115068493,M,2,9,Bee
N,T,60,2,8.115068493,M,2,10,Helping
Y,B,60,2,8.115068493,M,2,11,Crying
Y,B,60,2,8.115068493,M,2,12,Fish
N,T,60,2,8.115068493,M,2,13,Gravity
Y,B,15,2,9.008219178,M,2,1,See
N,T,15,2,9.008219178,M,2,2,Violin
Y,B,15,2,9.008219178,M,2,3,Face
N,T,15,2,9.008219178,M,2,4,Reading
Y,B,15,2,9.008219178,M,2,5,Hear
N,T,15,2,9.008219178,M,2,6,Number
N,O,15,2,9.008219178,M,2,7,Spider
N,O,15,2,9.008219178,M,2,8,ObjPerm
N,T,15,2,9.008219178,M,2,9,Bee
Y,B,15,2,9.008219178,M,2,10,Helping
Y,B,15,2,9.008219178,M,2,11,Crying
Y,B,15,2,9.008219178,M,2,12,Fish
Y,B,15,2,9.008219178,M,2,13,Gravity
